Piece,Notes
C_alb_esp1,"['E5', 'B5', 'A5', 'A5', 'G5', 'A5', 'B5', 'C6', 'D6', 'B5', 'C6', 'B5', 'A5', 'G5', 'F5', 'E3', 'G#3', 'B3', 'E4', 'G#4', 'B4', 'E4', 'G#4', 'B4', 'E5', 'G#5', 'B5', 'G#5', 'E5', 'B4', 'G#4', 'E4', 'B4', 'G#4', 'E4', 'B3', 'G#3', 'E3', 'E5', 'B5', 'A5', 'A5', 'G5', 'A5', 'B5', 'C6', 'D6', 'B5', 'C6', 'B5', 'A5', 'G5', 'F5', 'E5', 'F5', 'G5', 'A5', 'C6', 'A5', 'G5', 'F5', 'E5', 'F5', 'G5', 'A5', 'B5', 'D6', 'C6', 'A5', 'A5', 'G5', 'F5', 'A5', 'G#5', 'F4', 'E4', 'G#3', 'G#3', 'A3', 'E4', 'D4', 'A3', 'G#3', 'F4', 'E4', 'G#3', 'F4', 'E4', 'E4', 'D4', 'D4', 'B3', 'G#3', 'F4', 'E4', 'F4', 'E4', 'D4', 'C4', 'E3', 'D4', 'C4', 'G3', 'C4', 'B3', 'G3', 'B3', 'A3', 'B3', 'A3', 'B3', 'A3', 'G#3', 'G#3', 'G#3', 'E4', 'D4', 'A3', 'A3', 'F4', 'E4', 'G#3', 'F4', 'E4', 'E4', 'D4', 'A3', 'E4', 'D4', 'E5', 'F#5', 'G#5', 'A5', 'B5', 'C6', 'B5', 'A5', 'G5', 'A5', 'B5', 'C6', 'D6', 'B5', 'C6', 'B5', 'A5', 'G5', 'F5', 'E5', 'F#5', 'G#5', 'A5', 'B5', 'C6', 'D6', 'E6', 'F6', 'E6', 'D6', 'E6', 'E6', 'D6', 'F6', 'E6', 'C6', 'B-5', 'A5', 'B5', 'G5', 'F5', 'G#3', 'F4', 'E4', 'G#3', 'E4', 'D4', 'E4', 'D4', 'E4', 'D4', 'G#3', 'F4', 'E4', 'F4', 'E4', 'F4', 'E4', 'A3', 'D4', 'B3', 'G#3', 'F4', 'E4', 'G#3', 'D4', 'C4', 'D4', 'C4', 'D4', 'C4', 'G3', 'G3', 'G3', 'B3', 'A3', 'F3', 'F3', 'F5', 'G5', 'A5', 'C6', 'A5', 'G5', 'G5', 'F5', 'C5', 'F5', 'E5', 'E-5', 'C5', 'B4', 'A4', 'E3', 'G#3', 'B3', 'E4', 'G#4', 'B4', 'E4', 'G#4', 'B4', 'E5', 'G#5', 'B5', 'E4', 'G#4', 'B4', 'E5', 'G#5', 'B5', 'E5', 'G#5', 'B5', 'E6', 'G#6', 'B5', 'B5', 'B5', 'G#3', 'F4', 'E4', 'F4', 'E4', 'E4', 'D4', 'A3', 'E4', 'D4', 'F4', 'E4', 'G#3', 'F4', 'E4', 'A3', 'A3', 'A3', 'F4', 'E4', 'G#3', 'G#3', 'E3', 'D4', 'C4', 'E3', 'C4', 'B3', 'G3', 'C4', 'B3', 'F3', 'F3', 'F3', 'F4', 'E4', 'F4', 'E4', 'F4', 'E4', 'A3', 'E4', 'D4', 'E4', 'D4', 'G#3', 'F4', 'E4', 'G#3', 'A3', 'E4', 'D4', 'A3', 'F4', 'E4', 'G#3', 'F4', 'E4', 'A3', 'A3', 'A3', 'F4', 'E4', 'G#3', 'G#3', 'A3', 'E4', 'D4', 'A3', 'F4', 'E4', 'G#3', 'F4', 'E4', 'E3', 'E3', 'E3', 'C4', 'B3', 'C4', 'B3', 'C4', 'B3', 'F3', 'B3', 'A3', 'B3', 'A3', 'E3', 'B3', 'A3', 'B3', 'A3', 'G3', 'A3', 'B3', 'C4', 'D4', 'B3', 'C4', 'B3', 'A3', 'G3', 'F3', 'E2', 'B2', 'E3', 'G#3', 'B3', 'E4', 'G#4', 'G#3', 'B3', 'E4', 'G#4', 'B4', 'E5', 'B4', 'G#4', 'E4', 'B3', 'G#3', 'E4', 'B3', 'G#3', 'E3', 'E3', 'B2', 'E2', 'E3', 'B3', 'A3', 'B3', 'A3', 'G3', 'A3', 'B3', 'C4', 'D4', 'B3', 'C4', 'B3', 'A3', 'G3', 'F3', 'E3', 'F3', 'G3', 'A3', 'C4', 'A3', 'G3', 'F3', 'E3', 'F3', 'G3', 'A3', 'B3', 'D4', 'C4', 'A3', 'B3', 'A3', 'G3', 'F3', 'A3', 'G#3', 'E2', 'B2', 'E3', 'E2', 'B2', 'F3', 'E2', 'B2', 'E3', 'E2', 'B2', 'F3', 'E2', 'B2', 'E3', 'C2', 'G2', 'E3', 'G2', 'D3', 'G3', 'D3', 'E3', 'G3', 'F3', 'E2', 'B2', 'E3', 'E2', 'B2', 'F3', 'E2', 'B2', 'E3', 'E2', 'B2', 'F3', 'E2', 'E3', 'F#3', 'G#3', 'A3', 'B3', 'C4', 'B3', 'A3', 'G3', 'A3', 'B3', 'C4', 'D4', 'B3', 'C4', 'B3', 'A3', 'G3', 'F3', 'E3', 'F#3', 'G#3', 'A3', 'B3', 'C4', 'D4', 'E4', 'F4', 'E4', 'D4', 'E4', 'E4', 'D4', 'F4', 'E4', 'C4', 'B-3', 'A3', 'B3', 'G3', 'F3', 'E2', 'B2', 'E3', 'E2', 'B2', 'F3', 'E2', 'B2', 'E3', 'E2', 'B2', 'F3', 'E2', 'B2', 'E3', 'C2', 'G2', 'E3', 'G2', 'D3', 'G3', 'D3', 'E3', 'G3', 'F3', 'E2', 'B2', 'E3', 'A2', 'B2', 'C3', 'D3', 'E3', 'F3', 'G3', 'F3', 'E3', 'E2', 'B2', 'E3', 'A2', 'B2', 'C3', 'D3', 'E3', 'F3', 'G3', 'F3', 'E3', 'F3', 'G3', 'A3', 'C4', 'A3', 'G3', 'G3', 'F3', 'C3', 'F3', 'E3', 'E-3', 'C3', 'B2', 'A2', 'E2', 'B2', 'E3', 'G#3', 'B3', 'E4', 'G#4', 'G#3', 'B3', 'E4', 'G#4', 'B4', 'E5', 'G#3', 'B3', 'E4', 'G#4', 'B4', 'E5', 'G#4', 'B4', 'E5', 'G#5', 'B5']"
C_alb_esp2,"['NULL', 'G3', '0.4.7', 'NULL', 'G3', '0.4.7', '7.0', 'E4', 'F4', 'E4', '0.4.7', 'E4', 'E4', 'E-4', 'E4', '5.11', '2.5', 'E4', '5.9', 'B4', '11.2', '9.0', '9.11.0.2', '9.0', 'B4', '11.2', '5.9', '9.0', 'E4', 'G4', '0', 'C4', '0.5', 'C5', 'E4', 'E4', 'E-4', 'E4', 'C4', 'B4', 'A4', '0.4', '4.6', 'G4', '11.4', 'G4', 'NULL', '7.0', 'E4', 'F4', 'E4', '0.4.7', 'E4', 'E5', '11.2', 'C5', 'E-4', 'E4', '5.11', '2.5', '4.8', '5.9', '8.11', '11.2', '0.2.5', '2.4.8', 'NULL', 'E4', 'E4', 'E5', 'D5', '11.3', '0.4', 'NULL', 'C5', '5.9', '4.9', '5.9', '4.9', '0.4', '11.4', 'F#4', 'G#4', 'A4', 'G#4', 'F#4', 'B4', 'G#4', 'A4', 'B4', 'E-5', '1.3', 'C#5', 'B4', 'G#4', '4.8', 'A4', 'E-4', 'B3', 'E4', 'E-4', '4.8.11', '0.4', 'C4', 'E-4', 'B4', '11.4', '10.1', 'A3', 'D4', 'E-4', '7.0', 'E4', 'F4', 'E4', '0.4.7', 'E4', 'E4', 'A4', '5.11', '2.5', 'E4', '5.9', 'G4', '11.2', '5.9', '9.0', 'E4', 'G4', '0', 'C5', 'C5', 'D5', 'F5', 'E-5', 'B-4', 'G4', 'NULL', 'E-4', 'B3', 'C4', 'E4', 'F4', 'NULL', 'B4', 'D5', 'C5', 'E-4', 'E4', 'C4', '10.1', 'E4', 'A4', 'E4', 'D4', 'NULL', 'B3', 'NULL', 'G3', '0.4', 'NULL', 'G3', '0.4', '0.4.7', '7.0', 'NULL', 'E4', 'E4', 'E4', 'NULL', 'G4', 'NULL', 'G4', 'NULL', 'G4', 'NULL', '2.5', 'NULL', '3.9', 'G4', 'NULL', 'D5', '5.11', 'F#4', 'G4', 'A4', 'B4', 'C4', 'B4', 'A4', 'B3', 'NULL', 'E4', 'E4', 'E4', 'NULL', 'G4', 'C5', 'A4', 'G4', 'F4', 'E4', 'D4', 'A4', 'B3', 'E4', 'E4', 'E4', 'NULL', 'G4', 'NULL', 'B4', '11.2', '9.0', '9.11.0.2', '9.0', 'G4', 'B4', 'NULL', '2.5', 'NULL', '3.9', 'E4', 'NULL', 'D4', 'E-4', 'G4', 'G#4', 'G4', 'NULL', 'E4', 'E4', 'F4', 'G4', 'NULL', 'NULL', 'G4', 'C5', 'D5', 'E5', '11.2', 'C5', 'A4', 'NULL', 'G4', 'NULL', 'G4', 'B4', 'NULL', 'E4', 'NULL', 'C5', 'B4', 'A4', 'B4', 'A4', 'C4', 'NULL', 'F4', 'A4', 'C5', 'NULL', 'E5', 'NULL', 'C5', 'A4', 'D4', 'G4', '0.6', 'G4', 'G4', 'C5', 'D5', 'NULL', 'A4', 'NULL', 'C5', 'B4', 'NULL', 'G#4', 'B-4', 'B4', 'C5', 'G#4', 'A4', 'NULL', 'B4', 'D5', 'E5', 'D5', 'A4', 'C5', 'C5', 'B4', 'D5', 'E5', 'D5', 'A4', 'C5', 'C5', 'A4', 'B4', 'C5', 'A4', 'E4', 'G#4', 'G#4', 'E-4', 'NULL', '4.8.11', 'E-4', 'B3', 'C#4', 'E-4', '1.3', 'C#4', 'NULL', 'E4', 'E-4', 'C#4', 'A4', 'G#4', 'A4', 'B-4', 'B4', 'C#5', 'B4', 'A4', 'B4', 'E-5', '1.3', 'C#5', 'B4', 'NULL', 'G4', 'F4', 'C5', 'B3', 'NULL', 'E4', 'G4', 'NULL', 'C5', 'D5', 'E5', '11.2', 'C5', 'E-4', 'E4', 'NULL', 'G4', 'NULL', 'B4', 'NULL', 'G4', 'NULL', 'G4', 'G#4', 'NULL', 'G4', 'NULL', 'F4', 'NULL', 'G#4', 'G#4', 'NULL', 'E4', 'NULL', 'G4', 'F4', 'E4', 'A3', 'NULL', 'F4', 'E4', 'E4', 'D4', 'NULL', 'G4', 'NULL', 'F4', 'D5', 'B4', 'D5', 'C5', 'B4', 'B4', 'B3', 'E-5', 'G4', 'F4', '0', '7', '0', '7', 'C3', 'G3', 'G2', 'C3', 'G3', 'G2', 'C3', 'G3', 'C#3', 'D3', 'G3', 'G2', 'B2', 'G3', 'G2', 'D3', 'G3', 'G2', 'B2', 'G3', 'G2', 'C3', 'G3', '4.9', '3.9', 'A2', 'E3', 'C4', 'E3', 'A2', 'F3', 'C4', 'F3', 'A2', 'E-3', 'E3', 'A3', 'C4', 'B3', 'G#3', 'A3', 'C4', 'B3', 'E3', '3.9', 'D2', 'D3', 'G2', 'F#3', 'G3', 'A3', 'G3', 'C3', 'G3', 'G2', 'C3', 'G3', 'G2', 'C3', 'G3', 'C#3', 'D3', 'A3', 'F3', 'D3', 'B2', 'A3', 'F4', 'A3', 'E2', 'E3', 'D4', 'G3', '4.8', 'E3', 'A2', 'A2', 'A2', 'A2', 'A2', 'F#2', 'B1', 'B-2', 'B2', 'C#3', 'B2', 'A3', 'B3', 'C#4', 'B3', 'A3', 'E2', 'E2', 'E3', 'E2', 'B2', 'E2', 'B2', 'E2', 'E3', 'E2', 'E3', 'E2', '10.0', 'F3', '9.11', '4.8', '7.9', 'D3', '5.7', 'C2', 'G3', 'G2', 'C2', 'G3', 'G2', 'C3', 'G3', 'C#3', 'D3', 'G3', 'G2', 'B2', 'G3', 'G2', 'D3', 'G3', 'G2', 'B2', 'G3', 'G2', 'C3', 'G3', 'E3', 'C3', 'G#2', 'E-3', 'C4', 'E-3', 'E-2', 'A2', 'B-2', 'G3', 'F2', 'C3', 'G#3', 'C3', 'C2', 'F#2', 'G2', 'G#3', 'G3', '7.9', 'D3', 'NULL', 'G2', 'C2', 'G1', 'C2', 'G1', '7.0', '0.4.7', 'NULL', 'F#3', 'NULL', 'F#3', 'NULL', 'F#3', 'NULL', 'F#3', 'NULL', 'F#3', 'NULL', 'F#3', 'NULL', 'F#3', 'NULL', 'F#3', 'NULL', 'B3', 'NULL', 'F#3', 'NULL', 'F#3', 'NULL', 'F#3', 'NULL', 'G#3', 'NULL', 'E-3', 'NULL', 'E3', 'C4', 'E3', 'NULL', 'F3', 'B3', 'F3', 'NULL', 'E-3', 'E3', 'F3', 'E3', 'NULL', 'F3', 'B3', 'F3', 'NULL', 'E-3', 'E3', 'F3', 'E3', 'NULL', 'B2', 'C3', 'F#3', 'NULL', 'E-3', 'NULL', 'B2', 'NULL', 'B-2', 'B2', 'B3', 'NULL', 'B2', 'A3', 'NULL', 'B2', 'G#3', 'NULL', 'B2', 'F#3', 'NULL', 'B2', 'G#3', 'NULL', 'B2', 'A3', 'NULL', 'B-3', 'A3', 'NULL', 'G3', 'F3', 'NULL', 'F#3', 'NULL', 'F#3', 'NULL', 'F#3', 'NULL', 'F#3', 'NULL', 'F#3', 'NULL', 'F#3', 'NULL', 'F#3', 'NULL', 'F#3', 'NULL', 'G3', 'F3', 'NULL', 'G#3', 'G3', 'G3', 'F3', 'NULL', 'G3', 'G3', 'E-4']"
